scenario_id,category,parameter_name,parameter_scale,measurement_noise_std_rad,encoder_counts_per_revolution,control_delay_samples,voltage_limit_v,zero_delay_linearized_spectral_radius,zero_delay_linearization_stable,rms_tracking_error_rad,tail_mean_absolute_tracking_error_rad,peak_absolute_position_rad,peak_absolute_speed_rad_s,peak_absolute_current_a,rms_position_estimation_error_rad,maximum_absolute_applied_voltage_v,saturated_sample_count,all_values_finite,voltage_limit_respected,inside_development_integrity_envelope,description
nominal,baseline,,,0.0,,0,6.0,0.9920319148369734,True,0.0031826718826047313,3.164139259664508e-08,0.009999987159264485,0.027382703480186735,0.3793512689962337,0.0,5.544338217446472,0,True,True,True,Exact MODEL-010 nominal plant and implementation.
armature_resistance_ohm-x0.80,plant_parameter,armature_resistance_ohm,0.8,0.0,,0,6.0,0.993129839300486,True,0.003141403108053144,6.088443727949796e-08,0.010027074122407706,0.028410945510011654,0.38895895497434996,6.800218752773925e-06,5.544338217446472,0,True,True,True,One-at-a-time synthetic multiplier of 0.80 on armature_resistance_ohm.
armature_resistance_ohm-x1.20,plant_parameter,armature_resistance_ohm,1.2,0.0,,0,6.0,0.994580468399696,True,0.003227110072026466,8.214059397541624e-07,0.009999546877845052,0.026426671086006135,0.37035945632453915,6.355586269714072e-06,5.544338217446472,0,True,True,True,One-at-a-time synthetic multiplier of 1.20 on armature_resistance_ohm.
armature_inductance_h-x0.80,plant_parameter,armature_inductance_h,0.8,0.0,,0,6.0,0.9955660901677873,True,0.003061621035837662,3.0099824338948417e-06,0.009998137076009527,0.030860284413312438,0.453788642519383,1.986760291770022e-05,5.544338217446472,0,True,True,True,One-at-a-time synthetic multiplier of 0.80 on armature_inductance_h.
armature_inductance_h-x1.20,plant_parameter,armature_inductance_h,1.2,0.0,,0,6.0,0.9955183503891174,True,0.0033000171115786553,3.3824876319138096e-06,0.010210348999543853,0.024928354238215805,0.32723681463218146,1.5281446757587635e-05,5.544338217446472,0,True,True,True,One-at-a-time synthetic multiplier of 1.20 on armature_inductance_h.
torque_constant_nm_per_a-x0.80,plant_parameter,torque_constant_nm_per_a,0.8,0.0,,0,6.0,0.9954218889576194,True,0.0033724086195719054,1.3232106704682505e-06,0.010116383778739172,0.02343567662459362,0.38521051495056585,1.9412865074187976e-05,5.544338217446472,0,True,True,True,One-at-a-time synthetic multiplier of 0.80 on torque_constant_nm_per_a.
torque_constant_nm_per_a-x1.20,plant_parameter,torque_constant_nm_per_a,1.2,0.0,,0,6.0,0.9948912776942185,True,0.0030408519458923625,9.555281524366472e-07,0.009999452903833783,0.031191357488763918,0.37449413205418436,1.7687465325549714e-05,5.544338217446472,0,True,True,True,One-at-a-time synthetic multiplier of 1.20 on torque_constant_nm_per_a.
back_emf_constant_v_per_rad_s-x0.80,plant_parameter,back_emf_constant_v_per_rad_s,0.8,0.0,,0,6.0,0.9919842209112733,True,0.003182644895847357,3.091584394935426e-08,0.009999987506627282,0.02738316939974561,0.3793540116760217,6.036523369256199e-09,5.544338217446472,0,True,True,True,One-at-a-time synthetic multiplier of 0.80 on back_emf_constant_v_per_rad_s.
back_emf_constant_v_per_rad_s-x1.20,plant_parameter,back_emf_constant_v_per_rad_s,1.2,0.0,,0,6.0,0.9920752777008113,True,0.003182698873889458,3.236965508541384e-08,0.009999986810193453,0.027382237566080776,0.3793485263266938,6.036192931942727e-09,5.544338217446472,0,True,True,True,One-at-a-time synthetic multiplier of 1.20 on back_emf_constant_v_per_rad_s.
rotor_inertia_kg_m2-x0.80,plant_parameter,rotor_inertia_kg_m2,0.8,0.0,,0,6.0,0.995058811857287,True,0.0031282867422100695,1.4874798198474468e-06,0.010012434671486629,0.0282979649130423,0.3744468517625637,1.248109993446939e-05,5.544338217446472,0,True,True,True,One-at-a-time synthetic multiplier of 0.80 on rotor_inertia_kg_m2.
