scenario_id,trace_index,process_generation,sample_index,state_before,state,arm_request,run_request,reset_request,watchdog_heartbeat,watchdog_missed_samples,supply_voltage_v,encoder_sequence,encoder_stale_age_samples,requested_motor_voltage_v,motor_command_v,command_saturated,relay_enable_command,relay_enable_feedback,relay_feedback_mismatch_samples,command_disposition,encoder_disposition,safety_disposition,input_diagnostics,detected_faults,latched_faults,active_raw_fault_sources,reset_accepted,reset_rejected,safe_output,actuator_message,safety_status_message,supervisor_telemetry_message,fault_telemetry_message
normal_startup_running_and_saturation,0,0,0,SAFE_STARTUP,SAFE_STARTUP,False,False,False,True,0,6.0,1,0,0.0,0.0,False,False,False,0,ACCEPTED,ACCEPTED,ACCEPTED,,,,,False,False,True,"{""motor_voltage_v"":0.0,""reason"":""sim_010_tick"",""relay_enable"":false,""sample_index"":0,""saturated"":false,""state"":""SAFE_STARTUP""}","{""encoder_liveness_established"":false,""encoder_stale_age_samples"":0,""relay_feedback_mismatch_samples"":0,""reset_accepted"":false,""reset_rejected"":false,""safe_output"":true,""sample_index"":0,""state"":""SAFE_STARTUP"",""supply_healthy"":true,""watchdog_missed_samples"":0}","{""command_disposition"":""ACCEPTED"",""command_saturated"":false,""encoder_disposition"":""ACCEPTED"",""encoder_position_rad"":0.0,""encoder_sequence"":1,""motor_command_v"":0.0,""relay_enable_command"":false,""relay_enable_feedback"":false,""requested_motor_voltage_v"":0.0,""safety_disposition"":""ACCEPTED"",""sample_index"":0,""state"":""SAFE_STARTUP"",""state_before"":""SAFE_STARTUP""}","{""active_raw_fault_sources"":[],""detected_faults"":[],""input_diagnostics"":[],""latched_faults"":[],""reset_accepted"":false,""reset_reason"":"""",""reset_rejected"":false,""sample_index"":0}"
normal_startup_running_and_saturation,1,0,1,SAFE_STARTUP,SAFE_STARTUP,False,False,False,True,0,6.0,2,0,0.0,0.0,False,False,False,0,ACCEPTED,ACCEPTED,ACCEPTED,,,,,False,False,True,"{""motor_voltage_v"":0.0,""reason"":""sim_010_tick"",""relay_enable"":false,""sample_index"":1,""saturated"":false,""state"":""SAFE_STARTUP""}","{""encoder_liveness_established"":true,""encoder_stale_age_samples"":0,""relay_feedback_mismatch_samples"":0,""reset_accepted"":false,""reset_rejected"":false,""safe_output"":true,""sample_index"":1,""state"":""SAFE_STARTUP"",""supply_healthy"":true,""watchdog_missed_samples"":0}","{""command_disposition"":""ACCEPTED"",""command_saturated"":false,""encoder_disposition"":""ACCEPTED"",""encoder_position_rad"":0.0,""encoder_sequence"":2,""motor_command_v"":0.0,""relay_enable_command"":false,""relay_enable_feedback"":false,""requested_motor_voltage_v"":0.0,""safety_disposition"":""ACCEPTED"",""sample_index"":1,""state"":""SAFE_STARTUP"",""state_before"":""SAFE_STARTUP""}","{""active_raw_fault_sources"":[],""detected_faults"":[],""input_diagnostics"":[],""latched_faults"":[],""reset_accepted"":false,""reset_reason"":"""",""reset_rejected"":false,""sample_index"":1}"
normal_startup_running_and_saturation,2,0,2,SAFE_STARTUP,READY,False,False,False,True,0,6.0,3,0,0.0,0.0,False,False,False,0,ACCEPTED,ACCEPTED,ACCEPTED,,,,,False,False,True,"{""motor_voltage_v"":0.0,""reason"":""sim_010_tick"",""relay_enable"":false,""sample_index"":2,""saturated"":false,""state"":""READY""}","{""encoder_liveness_established"":true,""encoder_stale_age_samples"":0,""relay_feedback_mismatch_samples"":0,""reset_accepted"":false,""reset_rejected"":false,""safe_output"":true,""sample_index"":2,""state"":""READY"",""supply_healthy"":true,""watchdog_missed_samples"":0}","{""command_disposition"":""ACCEPTED"",""command_saturated"":false,""encoder_disposition"":""ACCEPTED"",""encoder_position_rad"":0.0,""encoder_sequence"":3,""motor_command_v"":0.0,""relay_enable_command"":false,""relay_enable_feedback"":false,""requested_motor_voltage_v"":0.0,""safety_disposition"":""ACCEPTED"",""sample_index"":2,""state"":""READY"",""state_before"":""SAFE_STARTUP""}","{""active_raw_fault_sources"":[],""detected_faults"":[],""input_diagnostics"":[],""latched_faults"":[],""reset_accepted"":false,""reset_reason"":"""",""reset_rejected"":false,""sample_index"":2}"
normal_startup_running_and_saturation,3,0,3,READY,READY,False,False,False,True,0,6.0,4,0,0.0,0.0,False,False,False,0,ACCEPTED,ACCEPTED,ACCEPTED,,,,,False,False,True,"{""motor_voltage_v"":0.0,""reason"":""sim_010_tick"",""relay_enable"":false,""sample_index"":3,""saturated"":false,""state"":""READY""}","{""encoder_liveness_established"":true,""encoder_stale_age_samples"":0,""relay_feedback_mismatch_samples"":0,""reset_accepted"":false,""reset_rejected"":false,""safe_output"":true,""sample_index"":3,""state"":""READY"",""supply_healthy"":true,""watchdog_missed_samples"":0}","{""command_disposition"":""ACCEPTED"",""command_saturated"":false,""encoder_disposition"":""ACCEPTED"",""encoder_position_rad"":0.0,""encoder_sequence"":4,""motor_command_v"":0.0,""relay_enable_command"":false,""relay_enable_feedback"":false,""requested_motor_voltage_v"":0.0,""safety_disposition"":""ACCEPTED"",""sample_index"":3,""state"":""READY"",""state_before"":""READY""}","{""active_raw_fault_sources"":[],""detected_faults"":[],""input_diagnostics"":[],""latched_faults"":[],""reset_accepted"":false,""reset_reason"":"""",""reset_rejected"":false,""sample_index"":3}"
normal_startup_running_and_saturation,4,0,4,READY,RUNNING,True,True,False,True,0,6.0,5,0,2.0,2.0,False,True,True,0,ACCEPTED,ACCEPTED,ACCEPTED,,,,,False,False,False,"{""motor_voltage_v"":2.0,""reason"":""sim_010_tick"",""relay_enable"":true,""sample_index"":4,""saturated"":false,""state"":""RUNNING""}","{""encoder_liveness_established"":true,""encoder_stale_age_samples"":0,""relay_feedback_mismatch_samples"":0,""reset_accepted"":false,""reset_rejected"":false,""safe_output"":false,""sample_index"":4,""state"":""RUNNING"",""supply_healthy"":true,""watchdog_missed_samples"":0}","{""command_disposition"":""ACCEPTED"",""command_saturated"":false,""encoder_disposition"":""ACCEPTED"",""encoder_position_rad"":0.0,""encoder_sequence"":5,""motor_command_v"":2.0,""relay_enable_command"":true,""relay_enable_feedback"":true,""requested_motor_voltage_v"":2.0,""safety_disposition"":""ACCEPTED"",""sample_index"":4,""state"":""RUNNING"",""state_before"":""READY""}","{""active_raw_fault_sources"":[],""detected_faults"":[],""input_diagnostics"":[],""latched_faults"":[],""reset_accepted"":false,""reset_reason"":"""",""reset_rejected"":false,""sample_index"":4}"
normal_startup_running_and_saturation,5,0,5,RUNNING,RUNNING,True,True,False,True,0,6.0,6,0,2.0,2.0,False,True,True,0,ACCEPTED,ACCEPTED,ACCEPTED,,,,,False,False,False,"{""motor_voltage_v"":2.0,""reason"":""sim_010_tick"",""relay_enable"":true,""sample_index"":5,""saturated"":false,""state"":""RUNNING""}","{""encoder_liveness_established"":true,""encoder_stale_age_samples"":0,""relay_feedback_mismatch_samples"":0,""reset_accepted"":false,""reset_rejected"":false,""safe_output"":false,""sample_index"":5,""state"":""RUNNING"",""supply_healthy"":true,""watchdog_missed_samples"":0}","{""command_disposition"":""ACCEPTED"",""command_saturated"":false,""encoder_disposition"":""ACCEPTED"",""encoder_position_rad"":0.0,""encoder_sequence"":6,""motor_command_v"":2.0,""relay_enable_command"":true,""relay_enable_feedback"":true,""requested_motor_voltage_v"":2.0,""safety_disposition"":""ACCEPTED"",""sample_index"":5,""state"":""RUNNING"",""state_before"":""RUNNING""}","{""active_raw_fault_sources"":[],""detected_faults"":[],""input_diagnostics"":[],""latched_faults"":[],""reset_accepted"":false,""reset_reason"":"""",""reset_rejected"":false,""sample_index"":5}"
normal_startup_running_and_saturation,6,0,6,RUNNING,RUNNING,True,True,False,True,0,6.0,7,0,7.0,6.0,True,True,True,0,ACCEPTED,ACCEPTED,ACCEPTED,,,,,False,False,False,"{""motor_voltage_v"":6.0,""reason"":""sim_010_tick"",""relay_enable"":true,""sample_index"":6,""saturated"":true,""state"":""RUNNING""}","{""encoder_liveness_established"":true,""encoder_stale_age_samples"":0,""relay_feedback_mismatch_samples"":0,""reset_accepted"":false,""reset_rejected"":false,""safe_output"":false,""sample_index"":6,""state"":""RUNNING"",""supply_healthy"":true,""watchdog_missed_samples"":0}","{""command_disposition"":""ACCEPTED"",""command_saturated"":true,""encoder_disposition"":""ACCEPTED"",""encoder_position_rad"":0.0,""encoder_sequence"":7,""motor_command_v"":6.0,""relay_enable_command"":true,""relay_enable_feedback"":true,""requested_motor_voltage_v"":7.0,""safety_disposition"":""ACCEPTED"",""sample_index"":6,""state"":""RUNNING"",""state_before"":""RUNNING""}","{""active_raw_fault_sources"":[],""detected_faults"":[],""input_diagnostics"":[],""latched_faults"":[],""reset_accepted"":false,""reset_reason"":"""",""reset_rejected"":false,""sample_index"":6}"
software_estop,0,0,0,SAFE_STARTUP,SAFE_STARTUP,False,False,False,True,0,6.0,1,0,0.0,0.0,False,False,False,0,ACCEPTED,ACCEPTED,ACCEPTED,,,,,False,False,True,"{""motor_voltage_v"":0.0,""reason"":""sim_010_tick"",""relay_enable"":false,""sample_index"":0,""saturated"":false,""state"":""SAFE_STARTUP""}","{""encoder_liveness_established"":false,""encoder_stale_age_samples"":0,""relay_feedback_mismatch_samples"":0,""reset_accepted"":false,""reset_rejected"":false,""safe_output"":true,""sample_index"":0,""state"":""SAFE_STARTUP"",""supply_healthy"":true,""watchdog_missed_samples"":0}","{""command_disposition"":""ACCEPTED"",""command_saturated"":false,""encoder_disposition"":""ACCEPTED"",""encoder_position_rad"":0.0,""encoder_sequence"":1,""motor_command_v"":0.0,""relay_enable_command"":false,""relay_enable_feedback"":false,""requested_motor_voltage_v"":0.0,""safety_disposition"":""ACCEPTED"",""sample_index"":0,""state"":""SAFE_STARTUP"",""state_before"":""SAFE_STARTUP""}","{""active_raw_fault_sources"":[],""detected_faults"":[],""input_diagnostics"":[],""latched_faults"":[],""reset_accepted"":false,""reset_reason"":"""",""reset_rejected"":false,""sample_index"":0}"
software_estop,1,0,1,SAFE_STARTUP,SAFE_STARTUP,False,False,False,True,0,6.0,2,0,0.0,0.0,False,False,False,0,ACCEPTED,ACCEPTED,ACCEPTED,,,,,False,False,True,"{""motor_voltage_v"":0.0,""reason"":""sim_010_tick"",""relay_enable"":false,""sample_index"":1,""saturated"":false,""state"":""SAFE_STARTUP""}","{""encoder_liveness_established"":true,""encoder_stale_age_samples"":0,""relay_feedback_mismatch_samples"":0,""reset_accepted"":false,""reset_rejected"":false,""safe_output"":true,""sample_index"":1,""state"":""SAFE_STARTUP"",""supply_healthy"":true,""watchdog_missed_samples"":0}","{""command_disposition"":""ACCEPTED"",""command_saturated"":false,""encoder_disposition"":""ACCEPTED"",""encoder_position_rad"":0.0,""encoder_sequence"":2,""motor_command_v"":0.0,""relay_enable_command"":false,""relay_enable_feedback"":false,""requested_motor_voltage_v"":0.0,""safety_disposition"":""ACCEPTED"",""sample_index"":1,""state"":""SAFE_STARTUP"",""state_before"":""SAFE_STARTUP""}","{""active_raw_fault_sources"":[],""detected_faults"":[],""input_diagnostics"":[],""latched_faults"":[],""reset_accepted"":false,""reset_reason"":"""",""reset_rejected"":false,""sample_index"":1}"
software_estop,2,0,2,SAFE_STARTUP,READY,False,False,False,True,0,6.0,3,0,0.0,0.0,False,False,False,0,ACCEPTED,ACCEPTED,ACCEPTED,,,,,False,False,True,"{""motor_voltage_v"":0.0,""reason"":""sim_010_tick"",""relay_enable"":false,""sample_index"":2,""saturated"":false,""state"":""READY""}","{""encoder_liveness_established"":true,""encoder_stale_age_samples"":0,""relay_feedback_mismatch_samples"":0,""reset_accepted"":false,""reset_rejected"":false,""safe_output"":true,""sample_index"":2,""state"":""READY"",""supply_healthy"":true,""watchdog_missed_samples"":0}","{""command_disposition"":""ACCEPTED"",""command_saturated"":false,""encoder_disposition"":""ACCEPTED"",""encoder_position_rad"":0.0,""encoder_sequence"":3,""motor_command_v"":0.0,""relay_enable_command"":false,""relay_enable_feedback"":false,""requested_motor_voltage_v"":0.0,""safety_disposition"":""ACCEPTED"",""sample_index"":2,""state"":""READY"",""state_before"":""SAFE_STARTUP""}","{""active_raw_fault_sources"":[],""detected_faults"":[],""input_diagnostics"":[],""latched_faults"":[],""reset_accepted"":false,""reset_reason"":"""",""reset_rejected"":false,""sample_index"":2}"
